Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
Gekido Kintaro's Revenge,Naps Team,Naps Team,22/Mar/2018,,[708]
Gelly Break,ByteRockers' Games GmbH & Co. KG,EuroVideo Medien,29/Nov/2018,,[709]
Gem Crash,Double Drive,Double Drive,22/Nov/2018,,[710]
Gem Smashers,Raylight S.r.l.,Treva Entertainment GmbH,15/Mar/2018,,[711]
Gems of War,505 Games,505 Games,26/Mar/2019,F2P,[712]
Gensokyo Defenders,,Unties,29/Nov/2018,,[713]
GetAmped Mobile,CyberStep,CyberStep,17/Jan/2019,Removido*,[714]
Ghost 1.0,Unepic,Francis Cota,19/Jul/2018,,[715]
Ghoulboy,,Dolores Entertainment S.L.,07/Mar/2019,,[716]
Giana Sisters: Twisted Dreams - Owltimate Edition,Black Forest Games,HandyGames,28/Set/2018,,[717]
Giga Wrecker ALT.,Game Freak,Rising Star Games,02/Mai/2019,,[718]
Gigantic Army,Storybird,Storybird,21/Fev/2019,,[719]
Ginger: Beyond the Crystal,Drakhar Studio S.L.,Badland Games,17/Nov/2017,,[720]
Glaive: Brick Breaker,Blue Sunset Games,Blue Sunset Games,26/Abr/2018,,[721]
Glass Masquerade,Onyx Lute,Digerati,08/Fev/2019,,[722]
Gnomes Garden,8Floor Games,8Floor Games,06/Dez/2018,,[723]
Gnomes Garden 2,8Floor Games,8Floor Games,03/Jan/2019,,[724]
Gnomes Garden 3: The Thief of Castles,8Floor Games,8Floor Games,30/Ago/2018,,[725]
Gnomes Garden: New Home,8Floor Games,8Floor Games,07/Fev/2019,,[726]
Go Vacation,Bandai Namco Studios Inc.,Nintendo,27/Jul/2018,BR,[727]
Goat Simulator: The GOATY,Coffee Stain Studios,Coffee Stain Publishing,23/Jan/2019,,[728]
GoatPunks,Studio Canvas,MELLIFONT SANTIAGO,27/Abr/2019,,[729]
God Eater 3,Bandai Namco Studios / Marvelous!,Bandai Namco Entertainment,12/Jul/2019,,[730]
God Wars The Complete Legend,Kadokawa Games,NIS America,04/Set/2018,,[731]
Godly Corp,Ultimate Games INC,Ultimate Games,05/Abr/2019,,[732]
Gods Remastered,Robot Riot UG,Robot Riot,28/Mar/2019,,[733]
Goetia,Sushee,Forever Entertainment,26/Abr/2018,,[734]
GoFishing 3D,Mastercode,Ultimate Games,28/Mai/2019,,[735]
Goken,Gianty,Gianty,28/Mar/2019,,[736]
Golem Gates,Laser Guided Games,Digerati,31/Mai/2019,,[737]
Golf Peaks,Afterburn,7Levels,14/Mar/2019,,[738]
Golf Story,Sidebar Games,Sidebar Games,28/Set/2017,,[739]
Gone Home,The Fullbright Company,Annapurna Interactive,06/Set/2018,,[740]
GoNNER,Art in Heart,Raw Fury,29/Jun/2017,,[741]
Goonya Fighter,Mutan,Mutan,27/Jun/2019,,[742]
Goosebumps The Game,WayForward,GameMill Entertainment,09/Out/2018,,[743]
Gorogoa,Buried Signal,Annapurna Interactive,14/Dez/2017,,[744]
Gotcha Racing 2nd,"Arc System Works Co., Ltd.","Arc System Works Co., Ltd.",29/Mar/2018,,[745]
Grab Lab,Digital Melody,Forever Entertainment,10/Jan/2019,,[746]
Grab the Bottle,Sometimes You,Sometimes You,20/Jun/2018,,[747]
Graceful Explosion Machine,Vertex Pop,Vertex Pop,06/Abr/2017,,[748]
Grand Brix Shooter,Intragames,Intragames,29/Ago/2019,,[749]
Grand Prix Rock 'N Racing,EnjoyUp Games,EnjoyUp Games,04/Jan/2018,,[750]
Grand Prix Story,,Kairosoft,21/Mar/2019,,[751]
Grandia HD Collection,Game Arts,GungHo America,16/Ago/2019,,[752]
Grandpa and the Zombies,TWP / Tivola,Tivola,12/Set/2018,,[753]
