Título_Título,Desenvolvedor_Desenvolvedor,Publicadora_Publicadora,Lançamento_Lançamento,Obs._Obs.,Ref._Ref.
Siegecraft Commander,Blowfish Studios,Level 77,19/Set/2018,CP,[1646]
Sigi - A Fart for Melusina,Sometimes You,Sometimes You,07/Set/2018,,[1647]
Silence,Daedalic Entertainment,Daedalic GmbH,11/Abr/2019,,[1648]
Silver Star Chess,Silver Star,Silver Star,10/Mai/2018,,[1649]
Sine Mora EX,Digital Reality / Grasshopper Manufacture,THQ Nordic,26/Set/2017,,[1650]
Sinner: Sacrifice for Redemption,Darkstar,Another Indie Studio,18/Out/2018,,[1651]
Siralim 3,Thylacine Studios,Studio Aurum,05/Jul/2019,,[1652]
Six Sides of the World,Dolores Entertainment,Dolores Entertainment S.L.,04/Out/2018,,[1653]
Skee-Ball,Ocean Media,Ocean Media,19/Abr/2018,,[1654]
Skelly Selest,Caiysware,Digerati,24/Mai/2019,,[1655]
Skies of Fury DX,Seed Interactive,IlluminationGames,12/Abr/2018,,[1656]
Skulls of the Shogun: Bone-A-Fide Edition,,Golem Entertainment,11/Jul/2019,,[1657]
Sky Force Anniversary,Infinite Dreams / Crunching Koalas,Infinite Dreams Inc.,08/Nov/2018,,[1658]
Sky Force Reloaded,Infinite Dreams,Infinite Dreams Inc.,01/Fev/2018,,[1659]
Sky Gamblers: Afterburner,Atypical Games,Atypical Games,07/Fev/2019,,[1660]
Sky Gamblers: Storm Raiders,Atypical Games,Atypical Games,23/Ago/2018,,[1661]
Sky Ride,Mutan Inc.,Mutan,17/Ago/2017,,[1662]
Sky Rogue,Fractal Phase,Fractal Phase,26/Abr/2018,,[1663]
Skyhill,Mandragora,Klabater,26/Fev/2019,,[1664]
Skylanders Imaginators,Toys For Bob,Activision,03/Mar/2017,,[1665]
Skypeace,"Sonic Powered Co.,Ltd.","Sonic Powered Co.,Ltd.",26/Abr/2018,,[1666]
SkyScrappers,Ground Shatter Ltd,Ant Workshop,29/Out/2018,,[1667]
SkyTime,Sometimes You,Sometimes You,05/Nov/2018,,[1668]
SlabWell: The Quest For Kaktun's Alpaca,Undergames,Undergames,18/Abr/2019,,[1669]
Slain: Back From Hell,Andrew Gilmour / Stage Clear Studios,Digerati,07/Dez/2017,,[1670]
Slam Land,Bread Machine,Bread Machine,07/Ago/2018,,[1671]
Slay the Spire,Mega Crit,Humble Bundle,06/Jun/2019,,[1672]
Slayaway Camp: Butcher's Cut,Blue Wizard Digital,Digerati,22/Mar/2018,,[1673]
Sleep Tight,We Are Fuzzy,We Are Fuzzy,26/Jul/2018,,[1674]
Slender: The Arrival,Blue Isle Studios,Blue Isle Studios,20/Jun/2019,,[1675]
"Slice, Dice & Rice",Dojo Games,"Arc System Works Co., Ltd.",06/Set/2018,,[1676]
Slime Tactics,Altair Works,Flyhigh Works,11/Abr/2019,,[1677]
Slime-san,Fabraz,Fabraz,03/Ago/2017,,[1678]
Sling Ming,Good Night Brave Warrior,Good Night Brave Warrior,05/Abr/2018,,[1679]
Smashing the Battle,Studio HG,Platinum Rocket,04/Abr/2019,,[1680]
Smite,Hi-Rez Studios,Hi-Rez Studios,19/Fev/2019,F2P CP,[1681]
Smoke And Sacrifice,Solar Sail Games,Curve Digital,31/Mai/2018,,[1682]
Smoots Summer Games,,JanduSoft,25/Jul/2019,,[1683]
SmuggleCraft,Happy Badger Studio,Happy Badger Studio,24/Jan/2019,,[1684]
Snake Pass,Sumo Digital,Curve Digital,28/Mar/2017,,[1685]
Snake vs Snake,CasualGames.nu,Casual Games,26/Set/2018,,[1686]
Sniper Elite V2 Remastered,Rebellion,Rebellion Interact,14/Mai/2019,CP,[1687]
"Snipperclips - Cut it out, together!",SFB Games,Nintendo,03/Mar/2017,BR,[1688]
"Snipperclips Plus - Cut it out, together!",SFB Games,Nintendo,10/Nov/2017,,[1689]
SNK 40th Anniversary Collection,Digital Eclipse,NIS America,13/Nov/2018,,[1690]
SNK Heroines: Tag Team Frenzy,Abstraction Games,NIS America,07/Set/2018,,[1691]
Snooker 19,Lab42,Ripstone Publishing,23/Ago/2019,,[1692]
Soccer Pinball,Kodobur Yazilim,Kodobur Yazilim,11/Jun/2019,,[1693]
SolSeraph,ACE Team,Sega,10/Jul/2019,,[1694]
Snow Battle Princess Sayuki,Starfish-SD Inc.,Ninja Games Japan,28/Mar/2019,,[1695]
Snow Moto Racing Freedom,Zordix,Bigben Interactive,27/Abr/2018,,[1696]
Snowboarding The Next Phase,Session Games Inc.,Red Bull Media House,10/Jan/2019,,[1697]
Soap Dodgem,,Zsolt Fabian,15/Nov/2018,,[1698]
Soccer Slammers,Atooi,Atooi,14/Jun/2018,,[1699]
Sol Divide Sword of Darkness for Nintendo Switch,,Zerodiv,22/Mar/2018,,[1700]
Solar Flux,Firebrand Games,Firebrand Games,11/Dez/2018,,[1701]
"Soldam: Drop, Connect, Erase",City Connection,Dispatch Games,20/Set/2017,,[1702]
Solitaire,Sanuk Games,Bigben Interactive,06/Nov/2018,,[1703]
Solitaire Battle Royal,"Making Co., Ltd.",Making,15/Nov/2018,,[1704]
Solitaire Klondike Black,G-Mode,G-Mode,31/Jan/2019,,[1705]
Solo: Islands of the Heart,Team Gotham,Merge Games,01/Ago/2019,,[1706]
Solstice Chronicles: MIA,Ironward,Circle Ent.,07/Fev/2019,,[1707]
Son of a Witch,Bigosaur,Bigosaur,04/Set/2018,,[1708]
Songbird Symphony,Joysteak Studios,PQube,25/Jul/2019,,[1709]
Songbringer,Wizard Fu Studios,Double Eleven,31/Mai/2018,,[1710]
Sonic Forces,Sonic Team,Sega,07/Nov/2017,,[1711]
Sonic Mania,Christian Whitehead,Sega,15/Ago/2017,,[1712]
Soulblight,My Next Games,My Next Games,04/Out/2018,,[1713]
South Park: The Fractured But Whole,Ubisoft Studio SF,Ubisoft,24/Abr/2018,,[1714]
South Park: The Stick of Truth,South Park Digital Studios LLC,Ubisoft,25/Set/2018,,[1715]
Space Dave,Choice Provisions,Choice Provisions,25/Jan/2018,,[1716]
Space Lift Danger Panic!,Springloaded,Springloaded,15/Fev/2019,,[1717]
Space Ribbon,Onteca Ltd,Onteca,24/Ago/2018,,[1718]
Space War Arena,Playchemy,Playchemy,28/Fev/2019,,[1719]
Spacecats with Lasers,Bitten Toast Games Inc.,Bitten Toast Games,22/Fev/2018,,[1720]
Sparkle 2,10tons Ltd,10tons,28/Set/2017,,[1721]
Sparkle 2 EVO,Forever Entertainment,Forever Entertainment,02/Nov/2017,,[1722]
Sparkle 3 Genesis,Forever Entertainment,Forever Entertainment,15/Mar/2018,,[1723]
Sparkle Unleashed,10tons Ltd,10tons,25/Dez/2017,,[1724]
Sparkle Zero,Forever Entertainment,Forever Entertainment,26/Abr/2018,,[1725]
Spartan,Sinister Cyclops Game Studios,Sinister Cyclops Game Studios,01/Abr/2018,,[1726]
Spectrum,3D Avenue,Digerati,20/Ago/2018,,[1727]
Speed Brawl,Double Stallion,Kongregate,18/Set/2018,,[1728]
Spell Casting: Purrfectly Portable Edition,,Hidden Trap,28/Jun/2019,,[1729]
SpellKeeper,Studio Gier,Silesia Games,02/Abr/2019,,[1730]
Spellspire,10tons Ltd,10tons,09/Nov/2017,,[1731]
Spelunker Party!,"Tozai Games, Inc.",Square Enix,19/Out/2017,,[1732]
Spencer,EntwicklerX,EntwicklerX,18/Out/2018,,[1733]
Spheroids,Eclipse Games,Eclipse Games,20/Jul/2018,,[1734]
Sphinx and the Cursed Mummy,Eurocom,THQ Nordic,29/Jan/2019,,[1735]
Spider Solitaire F,Flyhigh Works,Flyhigh Works,13/Set/2018,,[1736]
Spider Solitaire Black,G-Mode,G-Mode,18/Out/2018,,[1737]
Spintires: MudRunner - American Wilds,Saber3D,Focus Home Interactive,27/Nov/2018,,[1738]
Spiral Splatter,Sometimes You,Sometimes You,13/Mar/2018,,[1739]
SpiritSphere DX,Eendhoorn,Fabraz,02/Jul/2018,,[1740]
Splash Blast Panic,Team KwaKwa,Digital Smash,04/Out/2018,,[1741]
Splasher,Splashteam,Plug In Digital,26/Out/2017,,[1742]
Splat the Fruit,West Coast Software,West Coast Software,06/Abr/2018,,[1743]
Splatoon 2,Nintendo,Nintendo,21/Jul/2017,A BR,[1744][1745]
Splitter Critters,RAC7,RAC7,18/Abr/2018,,[1746]
Spoiler Alert,Megafuzz,Megafuzz,01/Fev/2019,,[1747]
Sports Party,Ubisoft,Ubisoft,30/Out/2018,,[1748]
Spot The Difference,Sanuk Games,Sabec,26/Fev/2018,,[1749]
Spot The Differences: Party!,Sanuk Games,Sanuk Games,17/Jan/2019,,[1750]
Spy Chameleon,Unfinished Pixel,Unfinished Pixel,09/Mar/2018,,[1751]
Squareboy vs Bullies: Arena Edition,Ratalaika Games / Rohan Narang,Ratalaika Games,12/Out/2017,,[1752]
Squids Odyssey,The Game Bakers,The Game Bakers,05/Jul/2018,,[1753]
Standby,Noclip,Noclip,01/Ago/2019,,[1754]
Star-Crossed Myth - The Department of Punishments,,Voltage,29/Ago/2019,,[1755]
Star-Crossed Myth - The Department of Wishes,,Voltage,29/Ago/2019,,[1756]
Star Ghost,Squarehead Studios / Four Horses,Rainy Frog,30/Nov/2017,,[1757]
Star Sky,JMJ Interactive,Active Gaming Media,23/Mai/2019,,[1758]
Star Story: The Horizon Escape,Evil Co. Games,Forever Entertainment,12/Jul/2018,,[1759]
Stardew Valley,ConcernedApe,Chucklefish LTD,05/Out/2017,BR,[1760]
StarDrone,Beatshapers,Beatshapers,21/Mar/2019,,[1761]
Stardust Galaxy Warriors: Stellar Climax,Dreamloop,Aksys Games,29/Nov/2018,,[1762]
Starlink: Battle For Atlas,Ubisoft Toronto,Ubisoft,16/Out/2018,BR,[1763][1764]
Starman,Nada Studio,Nada Studio,13/Dez/2018,,[1765]
Starship Avenger Operation: Take Back Earth,Tom Create,Tom Create,19/Jul/2018,,[1766]
Startide,Forever Entertainment,Forever Entertainment,25/Out/2018,,[1767]
State of Anarchy: Master of Mayhem,Sometimes You,Sometimes You,01/Ago/2018,,[1768]
State of Mind,Daedalic Entertainment,Daedalic GmbH,15/Ago/2018,,[1769]
Stay,Appnormals Team,PQube,12/Set/2018,,[1770]
Steamburg,Telehorse,Monster Couch,22/Nov/2018,,[1771]
SteamWorld Dig,Image & Form International AB,Image & Form International AB,01/Fev/2018,,[1772]
SteamWorld Dig 2,Image & Form International AB,Image & Form International AB,21/Set/2017,,[1773]
SteamWorld Heist: Ultimate Edition,Image & Form International AB,Image & Form International AB,28/Dez/2017,,[1774]
SteamWorld Quest: Hand of Gilgamech,Image & Form International AB,Thunderful Publishing AB,24/Abr/2019,,[1775]
Steins;Gate Elite,5pb.,Spike Chunsoft,19/Fev/2019,,[1776]
Stellar Interface,Imagination Overflow,Imagination Overflow,11/Jan/2019,,[1777]
Steredenn: Binary Stars,Pixelnest,Plug In Digital,08/Mar/2018,,[1778]
Stern Pinball Arcade,FarSight Studios,FarSight Studios,12/Dez/2017,F2P,[1779]
Steven Universe: Save the Light,Capybara Games,Cartoon Network,30/Out/2018,,[1780][1275]
Stick It to The Man,Zoink Games,Zoink Games,23/Nov/2017,,[1781]
Stikbold! A Dodgeball Adventure Deluxe,Game Swing,Reign Bros,04/Jan/2018,,[1782]
Storm Boy,Blowfish Studios,Level 77,20/Nov/2018,,[1783]
Storm In A Teacup,Cobra Mobile,Rising Star Games,25/Out/2018,,[1784]
Stranger Things 3: The Game,BonusXP / Netflix,BonusXP / Netflix,04/Jul/2019,,[1785]
Stray Cat Doors,Pulsmo,Pulsmo,31/Jan/2019,,[1786]
Street Basketball,,Baltoro Games,12/Abr/2019,,[1787]
Street Fighter 30th Anniversary Collection,Digital Eclipse,Capcom,29/Mai/2018,,[1788]
Streets of Red - Devil's Dare Deluxe,Secret Base Pte Ltd,Secret Base,12/Abr/2018,,[1789]
Streets of Rogue,Matt Dabrowski,tinyBuild Games,12/Jul/2019,,[1790]
Strike Suit Zero: Director's Cut,,Born Ready Games,02/Mai/2019,,[1791]
Strikers 1945 for Nintendo Switch,Zerodiv Inc.,Zerodiv,03/Ago/2017,,[1792]
Strikers 1945 II for Nintendo Switch,Zerodiv Inc.,Zerodiv,25/Jan/2018,,[1793]
Strikey Sisters,DYA Games,DYA Games,14/Fev/2019,,[1794]
Stunt Kite Party,HandyGames,HandyGames,08/Fev/2019,,[1795]
Subara City,Ryuji Kuwaki,Flyhigh Works,09/Ago/2018,,[1796]
Subdivision Infinity DX,Mistfly Games,Blowfish Studios,08/Ago/2019,,[1797]
Submerged,Uppercut Games,Uppercut Games,07/Jun/2019,,[1798]
Subsurface Circular,Mike Bithell Games,Ant Workshop,01/Mar/2018,,[1799]
Sudoku Relax,G-Mode,G-Mode,18/Abr/2019,,[1800]
Sudoku Relax 2 Summer Waves,G-Mode,G-Mode,01/Ago/2019,,[1801]
Sudoku Universe,,indienova,08/Ago/2019,,[1802]
Suicide Guy,Chubby Pixel,Chubby Pixel,10/Mai/2018,,[1803]
Suicide Guy: Sleepin' Deeply,Chubby Pixel,Chubby Pixel,25/Out/2018,,[1804]
Sumer,Studio Wumpus,Studio Wumpus,05/Abr/2018,,[1805]
Summer Sports Games,,Joindots,06/Jun/2019,,[1806]
Sundered: Eldritch Edition,Thunder Lotus Games,Thunder Lotus Games,21/Dez/2018,,[1807]
Super Arcade Soccer,EnjoyUp Games,EnjoyUp Games,31/Mai/2019,,[1808]
Super Beat Sports,"Harmonix Music Systems, Inc.",Harmonix,02/Nov/2017,,[1809]
Super Blackjack Battle 2 Turbo Edition - The Card Warriors,Stage Clear Studios,Headup Games,07/Ago/2018,,[1810]
Super Blood Hockey,Loren Lemcke,Digerati,26/Abr/2019,,[1811]
Super Bomberman R,Konami,Konami,03/Mar/2017,,[1812]
Super Cane Magic Zero,Studio Evil / Sio,Intragames,30/Mai/2019,,[1813]
Super Chariot,Microïds,Microïds,10/Mai/2018,,[1814]
Super Daryl Deluxe,Dan & Gary Games,Dan & Gary Games,10/Abr/2018,,[1815]
Super Destronaut DX,Petite Games,Ratalaika Games,13/Jul/2018,,[1816]
Super Dragon Ball Heroes: World Mission,Dimps Corporation,Bandai Namco Entertainment,05/Abr/2019,,[1817]
Super Dungeon Tactics,Underbite Games,Underbite Games,13/Set/2018,,[1818]
Super Hero Fight Club: Reloaded,Incuvo,QubicGames,24/Dez/2018,,[1819]
Super Hydorah,Locomalito / Gryzor87 / Abylight,Abylight,15/Nov/2018,,[1820]
Super Hyperactive Ninja,Grimorio of Games,JanduSoft,25/Out/2018,,[1821]
Super Inefficient Golf,34BigThings,34BigThings,07/Set/2018,,[1822]
Super Kickers League,Xaloc Studios,Xaloc Studios,20/Mar/2019,,[1823]
Super Life of Pixel,Super Icon,WhiteMoon Dreams,15/Mai/2019,,[1824]
Super Mario Maker 2,Nintendo,Nintendo,28/Jun/2019,BR,[1825][1826]
Super Mario Odyssey,Nintendo,Nintendo,27/Out/2017,A NL 04 BR,[1827][1828]
Super Mario Party,Nintendo,Nintendo,05/Out/2018,A BR,[1829][1830]
Super Meat Boy,Team Meat,BlitWorks,11/Jan/2018,,[1831]
Super Mega Baseball 2: Ultimate Edition,Metalhead Software,Metalhead Software,25/Jul/2019,CP,[1832]
Super Mutant Alien Assault,Cybernate,Fellow Traveller,12/Jul/2019,,[1833]
Super Neptunia RPG,Idea Factory,Compile Heart,25/Jun/2019,,[1834]
Super One More Jump,SMG Studio / Premo Games,SMG Studio,25/Jan/2018,,[1835]
Super Phantom Cat: Remake,Veewo Games,Veewo Games,21/Mar/2018,,[1836]
Super Ping Pong Trick Shot,Sims,Starsign,19/Out/2017,,[1837]
Super Putty Squad,System 3 Software Ltd,System 3 Software,09/Nov/2017,,[1838]
Super Rock Blasters!,QuadraTron Games,QuadraTron Games,05/Jul/2018,,[1839]
Super Rocket Shootout,Oddly Shaped Pixels,Plug In Digital,05/Abr/2018,,[1840]
Super Saurio Fly,FraxelGames S.L,FraxelGames,28/Abr/2018,,[1841]
Super Skelemania,Hidden Trap,Hidden Trap,06/Jun/2019,,[1842]
Super Smash Bros. Ultimate,Nintendo / Sora Ltd. / Bandai Namco Studios,Nintendo,07/Dez/2018,A NL 04 BR,[1843][1844]
Super Sportmatchen,Kaj Forell Video Game Brand,Dangen Entertainment,24/Mai/2018,,[1845]
Super Star Blast,EntwicklerX,EntwicklerX,26/Abr/2019,,[1846]
Super Star Path,DYA Games,DYA Games,11/Abr/2019,,[1847]
Super Tennis Blast,Unfinished Pixel,Unfinished Pixel,24/Mai/2019,,[1848]
Super Toy Cars,Eclipse Games,Eclipse Games,02/Mar/2018,,[1849]
Super Treasure Arena,Headup,Headup Games,24/Dez/2018,,[1850]
Super Volley Blast,Unfinished Pixel,Unfinished Pixel,12/Jul/2018,,[1851]
Super Weekend Mode,Pixelteriyaki,Ratalaika Games,12/Abr/2019,,[1852]
Super Wiloo Demake,lightUp,Ratalaika Games,02/Ago/2019,,[1853]
Superbeat: Xonic,PM Studios,PM Studios,21/Nov/2017,,[1854]
Superbrothers: Sword & Sworcery EP,Capybara Games,Capybara Games,30/Nov/2018,,[1855]
Superhoy,Superhoy,Superhoy,19/Ago/2019,,[1856]
Superola and the Lost Burgers,Undercoders,Undergames,22/Fev/2018,,[1857]
Surfingers,Digital Melody,Forever Entertainment,21/Fev/2019,,[1858]
Surgeon Simulator CPR,Bossa Studios,Bossa Studios,13/Set/2018,,[1859]
Survive! Mr.Cube,Intragames,Intragames,28/Jun/2018,,[1860]
Sushi Striker: The Way of Sushido,Nintendo,Nintendo,08/Jun/2018,BR,[1861]
Sushi Time!,Baltoro Games,Baltoro Games,22/Mar/2019,,[1862]
Swallow Up,,Rising Win Tech,02/Ago/2019,,[1863]
Swamp Defense 2,EntwicklerX,EntwicklerX,15/Nov/2018,,[1864]
Swap This!,Two Tribes,Two Tribes Publishing,02/Nov/2018,,[1865]
Swaps and Traps,,Drageus Games,02/Ago/2019,,[1866]
Sweet Witches,Lumen Section,Drageus Games,27/Jul/2019,,[1867]
Swim Out,Lozange Lab,Lozange Lab,20/Mar/2018,,[1868]
Switch 'N' Shoot,Matt Glanville,Matthew Glanville,10/Abr/2019,,[1869]
Switchy Road,Digital Game Group,Dispatch Games,11/Jul/2019,,[1870]
Sword Art Online: Fatal Bullet Complete Edition,Dimps,Bandai Namco Entertainment,09/Ago/2019,,[1871]
Sword Art Online: Hollow Realization Deluxe Edition,,Bandai Namco Entertainment,24/Mai/2019,,[1872]
Sword of the Guardian,Billy Chan Studio,Billy Chan Studio,18/Set/2018,,[1873]
Swords & Soldiers,Two Tribes,Two Tribes Publishing,25/Jan/2019,,[1874]
Swords and Soldiers 2 Shawarmageddon,Ronimo Games BV,Ronimo Games BV,01/Mar/2019,,[1875]
Syberia,Microïds,Microïds,20/Out/2017,,[1876][1877]
Syberia 2,Microïds,Microïds,30/Nov/2017,,[1878][1877]
Syberia 3,Microïds,Microïds,18/Out/2018,,[1879]
Symmetry,Sleepless Clinic,Imagination,19/Mar/2019,,[1880]
Table Top Racing: World Tour - Nitro Edition,Playrise Digital Ltd,Greenlight Games,01/Mai/2019,,[1881]
Tachyon Project,Eclipse Games,Eclipse Games,25/Jan/2018,,[1882]
Tactical Mind,Drageus Games / QubicGames S.A.,QubicGames,22/Dez/2017,,[1883]
"Tactics V: ""Obsidian Brigade""",From Nothing Game Studios,FNG Studios,09/Ago/2019,,[1884]
Taiko no Tatsujin: Drum 'n' Fun!,Bandai Namco Entertainment,Bandai Namco Entertainment,02/Nov/2018,,[1885]
Taimumari: Complete Edition,TERNOX,Victory Road,09/Ago/2019,,[1886]
Tales From Space: Mutant Blobs Attack,DrinkBox Studios,DrinkBox Studios,10/Mai/2019,,[1887]
Tales of the Orient - The Rising Sun,Green Sauce Games,Joindots,14/Fev/2019,,[1888]
Tales of the Tiny Planet,"Pixelsplit, Germany",Joindots,18/Jan/2018,,[1889]
Tales of Vesperia: Definitive Edition,Namco Tales Studio,Bandai Namco Entertainment,11/Jan/2019,,[1890]
Tallowmere,Teyon,Teyon,09/Nov/2017,,[1891]
Tangledeep,Impact Gameworks,Impact Gameworks,31/Jan/2019,,[1892]
Tangrams Deluxe,Vertical Reach,Vertical Reach,27/Set/2018,,[1893]
Tanks Meet Zombies,Titan Forged Games,Titan Forged Games,16/Abr/2019,,[1894]
Tanzia,Arcanity Inc.,Arcanity,19/Jul/2018,,[1895]
Tap Skaters,Digital Melody,Forever Entertainment,08/Ago/2019,,[1896]
Tardy,Drageus Games,Drageus Games,01/Mar/2019,,[1897]
Team Sonic Racing,Sega,Sega USA,21/Mai/2019,,[1898]
Teddy the Wanderer: Kayaking,,Forever Entertainment,15/Nov/2018,,[1899]
Teddy The Wanderer: Mountain Hike,Forever Entertainment,Forever Entertainment,14/Mar/2019,,[1900]
Tengai for Nintendo Switch,Psikyo,Zerodiv,29/Mar/2018,,[1901]
Tennis,D3Publisher Inc.,D3Publisher,25/Jan/2018,,[1902]
Tennis in the Face,10tons Ltd,10tons,08/Dez/2017,,[1903]
Tennis World Tour,Breakpoint,Bigben Interactive,29/Out/2018,,[1904]
Terraria,Pipeworks Studio,505 Games,27/Jun/2019,,[1905]
TerraTech,Payload Studios,Terra Tek Studios,29/Mai/2019,,[1906]
Terrorhythm (TRRT),EvilCoGames,Forever Entertainment,08/Ago/2019,,[1907]
Tesla vs Lovecraft,10tons Ltd,10tons,16/Mar/2018,,[1908]
Teslagrad,Rain Games,Rain Games,07/Dez/2017,,[1909]
Tetra's Escape,ABX Games Studio,Ratalaika Games,10/Ago/2018,,[1910]
Tetraminos,Sanuk Games,Bigben Interactive,03/Jan/2019,,[1911]
Tetris 99,Arika,Nintendo,13/Fev/2019,Free* BR,[1912][1913]
Tetsumo Party,Monster Couch,Monster Couch,26/Jul/2019,,[1914]
The Adventure Pals,Massive Monster,Armor Games Studios,03/Abr/2018,,[1915]
The Adventures of Elena Temple,GrimTalin,GrimTalin,15/Mai/2018,,[1916]
The Amazing Shinsengumi: Heroes in Love,Dogenzaka Lab,D3Publisher,09/Ago/2018,,[1917]
The Aquatic Adventure of the Last Human,YCJY,Digerati,03/Jan/2019,,[1918]
The Binding of Isaac: Afterbirth+,"Nicalis, Inc.","Nicalis, Inc.",17/Mar/2017,,[1919]
The Book of Unwritten Tales 2,King Art,THQ Nordic,05/Fev/2019,,[1920]
The Bridge,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,07/Set/2017,,[1921]
The Bug Butcher,Awfully Nice Studios,2Awesome Studio,08/Nov/2018,,[1922]
The Bunker,Splendy Games / Wales Interactive,Wales Interactive Ltd.,09/Abr/2018,,[1923]
The Caligula Effect: Overdose,FuRyu,NIS America,12/Mar/2019,,[1924]
"The Card: Poker, Texas hold 'em, Blackjack and Page One",,D3Publisher,20/Set/2018,,[1925]
The Charming Empire,OperaHouse Corporation,D3Publisher,29/Mar/2018,,[1926]
The Childs Sight,Forever Entertainment,Forever Entertainment,20/Jun/2019,,[1927]
The Church in the Darkness,Paranoid Productions,Fellow Traveller,02/Ago/2019,,[1928]
The Coma: Recut,Devespresso Games / Stage Clear Studios,Digerati,21/Dez/2017,,[1929]
The Demon Crystal,YMCAT,Regista,11/Abr/2019,,[1930]
The Drama Queen Murder,Ocean Media,Ocean Media,18/Jul/2019,,[1931]
The Elder Scrolls V: Skyrim,Bethesda Game Studios,Bethesda Softworks,17/Nov/2017,A,[1932]
The End Is Nigh,Edmund McMillen / Tyler Glaiel,"Nicalis, Inc.",12/Dez/2017,,[1933]
The Escapists: Complete Edition,Team17 Digital Ltd,Team17 Digital Ltd,25/Set/2018,,[1934]
The Escapists 2,Team17 Digital Ltd,Team17 Digital Ltd,11/Jan/2018,,[1935]
The Fall,Over The Moon,Over The Moon,10/Mai/2018,,[1936]
The Fall Part 2: Unbound,Over The Moon,Over The Moon,13/Fev/2018,,[1937]
The Final Station,Do My Best,tinyBuild Games,23/Fev/2018,,[1938]
The First Tree,"David Wehle, LLC",David Wehle,30/Nov/2018,,[1939]
The Flame In The Flood: Complete Edition,The Molasses Flood,Curve Digital,12/Out/2017,,[1940]
The Forbidden Arts,Stingbot Games,Stingbot Games,07/Ago/2019,,[1941]
The Friends of Ringo Ishikawa,yeo,Circle Ent.,04/Abr/2019,,[1942]
The Gardens Between,The Voxel Agents,The Voxel Agents,20/Set/2018,,[1943]
The Golf,X-Stream Digital,D3Publisher,14/Fev/2019,,[1944]
The House of Da Vinci,,Blue Brain Games,26/Jul/2019,,[1945]
The Infectious Madness of Doctor Dekker,D'Avekki Studios,Wales Interactive Ltd.,05/Jun/2018,,[1946]
The Inner World,Studio Fizbin,Headup Games,03/Ago/2018,,[1947]
The Inner World - The Last Wind Monk,Studio Fizbin,Headup Games,18/Jul/2018,,[1948]
The Jackbox Party Pack,Jackbox Games,Jackbox Games,17/Ago/2017,,[1949]
The Jackbox Party Pack 2,Jackbox Games,Jackbox Games,17/Ago/2017,,[1950]
The Jackbox Party Pack 3,Jackbox Games,Jackbox Games,13/Abr/2017,,[1951]
The Jackbox Party Pack 4,Jackbox Games,Jackbox Games,19/Out/2017,,[1952]
The Jackbox Party Pack 5,Jackbox Games,Jackbox Games,17/Out/2018,,[1953]
The Journey Down: Chapter One,BlitWorks,SkyGoblin,21/Jun/2018,,[1954][1955]
The Journey Down: Chapter Two,BlitWorks,SkyGoblin,28/Jun/2018,,[1956][1955]
The Journey Down: Chapter Three,BlitWorks,SkyGoblin,05/Jul/2018,,[1957][1955]
The Keep,Cinemax,Cinemax,20/Dez/2018,,[1958]
The King's Bird,Serenity Forge,Graffiti Games,12/Fev/2019,,[1959]
The Knight & the Dragon,Naps Team,Naps Team,18/Abr/2019,,[1960]
The Last Door - Complete Edition,The Game Kitchen,Plug In Digital,22/Mai/2019,,[1961]
The Last Remnant Remastered,Guild Studio Inc.,Square Enix,10/Jun/2019,,[1962]
The Legend of Evil,Springloaded,Springloaded,19/Out/2018,,[1963]
The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo,03/Mar/2017,A NL 04 BR,[1964]
The Liar Princess and the Blind Prince,Nippon Ichi Software,NIS America,12/Fev/2019,,[1965]
The Lion's Song,Mi'pu'mi Games,Mi'pu'mi Games,10/Jul/2018,,[1966]
The Little Acre,Pewter Games Studios,Pewter Games Studios,25/Abr/2019,,[1967]
The Long Reach,Painted Black Games,Merge Games,15/Mar/2018,,[1968]
The Longest Five Minutes,Nippon Ichi Software / Syupro-DX,NIS America,13/Fev/2018,,[1969]
The Lost Child,Kadokawa Games,NIS America,19/Jun/2018,,[1970]
The Lost Light of Sisu,Solvarg,Solvarg,27/Fev/2019,,[1971]
The Low Road,XGen Studios Inc.,XGen Studios,23/Ago/2018,,[1972]
The Original Mobile Games,Second Avenue Learning,Second Avenue Learning,24/Jul/2019,,[1973]
The Mahjong Huntress,Nawia Games,Forever Entertainment,13/Set/2018,,[1974]
The Men of Yoshiwara: Kikuya,D3Publisher Inc.,D3Publisher,01/Fev/2018,,[1975]
The Men of Yoshiwara: Ohgiya,D3Publisher Inc.,D3Publisher,08/Mar/2018,,[1976]
The Messenger,Sabotage,Devolver Digital,30/Ago/2018,BR,[1977]
The Midnight Sanctuary,Cavyhouse,Unties,04/Out/2018,,[1978]
The Missing: J.J. Macfield and the Island of Memories,White Owls Inc.,"Arc System Works Co., Ltd.",11/Out/2018,,[1979]
The Mooseman,Sometimes You,Sometimes You,18/Jul/2018,,[1980]
The Mummy Demastered,WayForward,WayForward,24/Out/2017,,[1981]
The Mystery of the Hudson Case,Magic Frame Studios S.L,Magic Frame Studios,14/Mai/2018,,[1982]
The Mystery of Woolley Mountain,Lightfoot Brothers,Huey Games,10/Abr/2019,,[1983]
The Next Penelope,Aurélien REGARD / Seaven Studio,Plug In Digital,21/Dez/2017,,[1984]
